Year,Week_Number,label,mean_return,volatility,mean_adj_close
2018,0,1,5.571833333333333,5.1336050653187835,940.02
2018,1,1,4.567428571428572,8.331802763250836,1240.2585714285713
2018,2,0,-2.31,8.950795551234538,1136.7371428571428
2018,3,0,-0.4737142857142858,5.517996548092604,1045.16
2018,4,0,-1.6077142857142854,9.041517677069592,1076.3428571428572
2018,5,0,-1.0371428571428574,11.431302338004063,806.4142857142857
2018,6,1,1.8961428571428571,5.0492071136160055,901.0699999999999
2018,7,0,-1.9989999999999999,4.506343713773581,875.8100000000001
2018,8,1,0.2981428571428571,1.960572486849307,861.9814285714285
2018,9,0,-3.0384285714285713,4.186776638303938,772.9357142857143
2018,10,0,-2.9282857142857144,5.351502832983327,642.0057142857142
2018,11,0,-0.6685714285714285,2.4731943485529575,545.7185714285714
2018,12,0,-3.821,5.709226158888202,441.1014285714286
2018,13,0,-0.27142857142857135,5.587975210430067,386.0414285714286
2018,14,1,3.936,5.026661748450291,447.2814285714286
2018,15,1,2.8368571428571427,5.126689946693071,551.3628571428571
2018,16,1,2.021,7.774924179694616,654.5014285714286
2018,17,1,2.668142857142857,5.149961858388578,728.6914285714286
2018,18,0,-2.4154285714285715,2.7792641626362697,734.87
2018,19,1,0.2808571428571429,3.883414667041169,706.2185714285714
2018,20,0,-2.301285714285714,4.892138547857018,631.6700000000001
2018,21,1,0.26157142857142873,5.9261614011416315,566.17
2018,22,1,0.17042857142857135,2.747257290289284,604.5085714285715
2018,23,0,-2.3217142857142856,6.822246885845497,506.3528571428571
2018,24,0,-0.608142857142857,5.276842788024275,508.75428571428574
2018,25,0,-0.5191428571428569,4.122300629040837,443.8085714285714
2018,26,1,1.1325714285714286,2.432909702197683,471.55285714285714
2018,27,0,-1.6330000000000002,3.852270369535347,449.56142857142856
2018,28,1,0.9222857142857144,4.353431509138729,470.6828571428572
2018,29,1,0.17271428571428565,2.913174254673969,466.14
2018,30,0,-1.9147142857142856,2.082634206502726,430.92857142857144
2018,31,0,-3.2192857142857143,4.143201729511679,367.98285714285714
2018,32,0,-1.0334285714285711,6.3896012879558945,295.27714285714285
2018,33,0,-0.7187142857142855,4.266492849882117,281.1642857142857
2018,34,1,0.8217142857142857,3.0255073246364104,287.00857142857143
2018,35,0,-5.343000000000001,6.649987268158238,249.57714285714286
2018,36,1,1.9065714285714286,6.771741008464093,201.2242857142857
2018,37,1,1.2831428571428571,6.875602214317217,221.4385714285714
2018,38,0,-0.4465714285714285,4.510381316368675,227.1342857142857
2018,39,0,-0.3932857142857143,1.767860355937436,226.6042857142857
2018,40,0,-1.4804285714285716,6.622773836219555,213.6
