Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-03-28,2018,3,28,Wednesday,12,2018-12,450.29,466.21,444.86,446.28,1514179968,446.28,-0.852,535.4585714285714,748.5288
2018-03-29,2018,3,29,Thursday,12,2018-12,448.08,450.81,385.81,385.97,1970230016,385.97,-13.514,519.3635714285714,741.1068
2018-03-30,2018,3,30,Friday,12,2018-12,385.9,409.93,368.63,394.64,1878130048,394.64,2.248,504.57571428571424,732.6433999999999
2018-03-31,2018,3,31,Saturday,12,2018-12,395.0,418.47,392.95,396.46,1323920000,396.46,0.459,493.40999999999997,722.8953999999999
2018-04-01,2018,4,1,Sunday,13,2018-13,397.25,400.53,363.8,379.61,1256930048,379.61,-4.25,482.05071428571426,713.2794
2018-04-02,2018,4,2,Monday,13,2018-13,379.7,395.17,377.59,386.42,1102259968,386.42,1.796,469.8857142857143,704.7145999999999
2018-04-03,2018,4,3,Tuesday,13,2018-13,387.31,418.97,383.53,416.89,1363399936,416.89,7.885,459.86571428571426,695.6782
2018-04-04,2018,4,4,Wednesday,13,2018-13,416.48,417.47,375.31,380.54,1287730048,380.54,-8.719,446.9235714285714,686.3838
2018-04-05,2018,4,5,Thursday,13,2018-13,379.95,387.72,369.82,383.23,1210680064,383.23,0.707,435.7471428571429,675.5772000000001
2018-04-06,2018,4,6,Friday,13,2018-13,382.73,385.2,366.91,370.29,967105984,370.29,-3.378,423.65214285714285,664.2434000000001
2018-04-07,2018,4,7,Saturday,13,2018-13,370.38,393.06,369.94,385.31,951475008,385.31,4.059,413.57142857142856,653.0654
2018-04-08,2018,4,8,Sunday,14,2018-14,385.74,402.59,385.6,400.51,948488000,400.51,3.943,404.72999999999996,641.5934000000001
2018-04-09,2018,4,9,Monday,14,2018-14,400.86,429.25,390.61,398.53,1478390016,398.53,-0.495,398.19999999999993,631.0856
2018-04-10,2018,4,10,Tuesday,14,2018-14,399.41,415.89,393.88,414.24,1196000000,414.24,3.944,395.63714285714286,620.4932
2018-04-11,2018,4,11,Wednesday,14,2018-14,415.02,430.54,412.47,430.54,1439040000,430.54,3.934,394.5128571428572,611.1966
2018-04-12,2018,4,12,Thursday,14,2018-14,430.16,493.06,417.41,492.94,2519360000,492.94,14.494,402.1535714285714,604.056
2018-04-13,2018,4,13,Friday,14,2018-14,493.16,526.47,482.66,492.73,2419249920,492.73,-0.042,409.16,597.6538
2018-04-14,2018,4,14,Saturday,14,2018-14,492.58,512.02,488.28,501.48,1519079936,501.48,1.774,416.6614285714286,590.3996
2018-04-15,2018,4,15,Sunday,15,2018-15,502.88,531.7,502.88,531.7,1726089984,531.7,6.027,427.52500000000003,584.2232
2018-04-16,2018,4,16,Monday,15,2018-15,532.07,534.2,500.25,511.15,1758979968,511.15,-3.866,436.4342857142857,577.55
2018-04-17,2018,4,17,Tuesday,15,2018-15,511.14,518.03,502.56,502.89,1760359936,502.89,-1.615,442.57714285714286,570.2214
2018-04-18,2018,4,18,Wednesday,15,2018-15,503.31,525.09,503.05,524.79,1762940032,524.79,4.354,452.8807142857143,563.1518
2018-04-19,2018,4,19,Thursday,15,2018-15,524.04,567.89,523.26,567.89,2256869888,567.89,8.213,466.07071428571425,557.4055999999999
2018-04-20,2018,4,20,Friday,15,2018-15,567.99,618.72,560.28,615.72,2849469952,615.72,8.422,483.6014285714286,552.276
2018-04-21,2018,4,21,Saturday,15,2018-15,616.0,621.89,578.55,605.4,2612460032,605.4,-1.677,499.32214285714286,547.2470000000001
2018-04-22,2018,4,22,Sunday,16,2018-16,606.12,640.77,593.87,621.86,2426269952,621.86,2.72,515.1328571428572,542.5398
2018-04-23,2018,4,23,Monday,16,2018-16,621.2,646.7,621.03,642.55,2386830080,642.55,3.327,532.5628571428571,538.0572
2018-04-24,2018,4,24,Tuesday,16,2018-16,643.4,708.88,643.4,708.16,3581860096,708.16,10.211,553.5571428571428,535.1468
2018-04-25,2018,4,25,Wednesday,16,2018-16,707.06,707.06,600.21,615.42,4216140032,615.42,-13.096,566.7628571428571,531.1162
2018-04-26,2018,4,26,Thursday,16,2018-16,618.08,663.18,604.01,662.81,2984009984,662.81,7.701,578.8964285714286,529.3158
2018-04-27,2018,4,27,Friday,16,2018-16,662.11,684.87,647.03,647.03,2598129920,647.03,-2.38,589.9178571428572,528.1644
2018-04-28,2018,4,28,Saturday,16,2018-16,644.65,691.44,644.65,683.68,2496659968,683.68,5.664,602.9321428571428,527.2596
2018-04-29,2018,4,29,Sunday,17,2018-17,683.91,697.76,670.51,688.88,2740559872,688.88,0.761,614.1592857142857,527.2994
2018-04-30,2018,4,30,Monday,17,2018-17,689.76,694.44,666.12,669.92,2853100032,669.92,-2.752,625.5,526.231
2018-05-01,2018,5,1,Tuesday,17,2018-17,670.46,674.4,637.54,673.61,2678960128,673.61,0.551,637.6942857142857,525.7066
2018-05-02,2018,5,2,Wednesday,17,2018-17,674.08,688.84,667.42,687.15,2822269952,687.15,2.009,649.2914285714286,525.633
