Year,Week_Number,mean_return,volatility
2017,45,-0.5283333333333333,5.9660710969056785
2017,46,1.477,3.2774332945156948
2017,47,4.435142857142857,6.128955142832842
2017,48,0.016428571428571237,4.824341573629257
2017,49,0.3798571428571428,4.076043646665699
2017,50,6.191571428571429,11.702180791874405
2017,51,0.8471428571428572,9.056681795384948
2017,52,0.06914285714285714,5.192850964822421
2017,53,5.504,0.0
2018,00,5.571833333333333,5.1336050653187835
2018,01,4.567428571428572,8.331802763250836
2018,02,-2.31,8.950795551234538
2018,03,-0.4737142857142858,5.517996548092604
2018,04,-1.6077142857142854,9.041517677069592
2018,05,-1.0371428571428574,11.431302338004063
2018,06,1.8961428571428571,5.0492071136160055
2018,07,-1.9989999999999999,4.506343713773581
2018,08,0.2981428571428571,1.960572486849307
2018,09,-3.0384285714285713,4.186776638303938
2018,10,-2.9282857142857144,5.351502832983327
2018,11,-0.6685714285714285,2.4731943485529575
2018,12,-3.821,5.709226158888202
2018,13,-0.27142857142857135,5.587975210430067
2018,14,3.936,5.026661748450291
2018,15,2.8368571428571427,5.126689946693071
2018,16,2.021,7.774924179694616
2018,17,2.668142857142857,5.149961858388578
2018,18,-2.4154285714285715,2.7792641626362697
2018,19,0.2808571428571429,3.883414667041169
2018,20,-2.301285714285714,4.892138547857018
2018,21,0.26157142857142873,5.9261614011416315
2018,22,0.17042857142857135,2.747257290289284
2018,23,-2.3217142857142856,6.822246885845497
2018,24,-0.608142857142857,5.276842788024275
2018,25,-0.5191428571428569,4.122300629040837
2018,26,1.1325714285714286,2.432909702197683
2018,27,-1.6330000000000002,3.852270369535347
2018,28,0.9222857142857144,4.353431509138729
2018,29,0.17271428571428565,2.913174254673969
2018,30,-1.9147142857142856,2.082634206502726
2018,31,-3.2192857142857143,4.143201729511679
2018,32,-1.0334285714285711,6.3896012879558945
2018,33,-0.7187142857142855,4.266492849882117
2018,34,0.8217142857142857,3.0255073246364104
2018,35,-5.343000000000001,6.649987268158238
2018,36,1.9065714285714286,6.771741008464093
2018,37,1.2831428571428571,6.875602214317217
2018,38,-0.4465714285714285,4.510381316368675
2018,39,-0.3932857142857143,1.767860355937436
2018,40,-1.4804285714285716,6.622773836219555
2018,41,0.43628571428571433,3.1657778777779986
2018,42,-0.08442857142857144,0.3915294187085892
2018,43,-0.2715714285714286,1.6767949444443961
2018,44,0.8845714285714286,2.4632433130017057
2018,45,-2.729857142857143,4.333361606134873
2018,46,-5.6698571428571425,7.454012374298186
2018,47,0.7985714285714288,6.2453428744183155
2018,48,-3.4492857142857143,4.577589093044711
2018,49,-1.204142857142857,2.9604265699710366
2018,50,4.942857142857143,7.057067696727195
2018,51,2.8764285714285713,10.464291596617882
2018,52,-1.6535,4.224963017589622
2019,00,3.2428,5.221842462196652
2019,01,-2.835857142857143,5.471613669006352
2019,02,-0.020999999999999845,5.84231643557017
2019,03,-0.9348571428571429,1.722549895607423
2019,04,-0.7162857142857143,3.168278802666926
2019,05,1.2585714285714287,5.78053627434753
2019,06,0.47300000000000003,2.230196927029838
2019,07,3.767142857142857,4.451634285239951
2019,08,-2.2274285714285713,5.613310130310602
2019,09,0.4532857142857143,3.733147318920311
2019,10,0.47071428571428575,2.0585866279469283
2019,11,-0.41414285714285715,1.3884699526903022
2019,12,0.4108571428571429,2.026575965232279
2019,13,2.395,6.227463501833364
2019,14,-0.060428571428571345,3.831416616046118
2019,15,0.8152857142857143,2.721593694528123
2019,16,-1.268857142857143,3.0416809732214096
2019,17,0.5251428571428571,2.5894765512596964
2019,18,2.545142857142857,4.864857977665652
2019,19,3.001714285714286,8.087219190679528
2019,20,1.1204285714285713,5.093076570441578
2019,21,0.8181428571428572,3.814862620006625
2019,22,-1.0422857142857143,3.3988467511930036
2019,23,1.376857142857143,4.20813610476069
2019,24,2.0764285714285715,3.774395971858405
2019,25,0.6661428571428573,6.307725037036502
2019,26,-1.425142857142857,4.584366165879111
2019,27,-0.8168571428571428,4.975827114781067
2019,28,-1.9109999999999998,9.136314136455685
2019,29,-1.380857142857143,2.683104820201864
2019,30,1.019,1.6199313771473984
2019,31,-0.9987142857142857,3.254159835978441
2019,32,-1.426,4.628275848880805
2019,33,0.4874285714285715,3.802374383511039
2019,34,-1.426714285714286,3.0793870988821634
2019,35,0.5074285714285713,2.8539291545249714
2019,36,0.7821428571428571,1.644423447956905
2019,37,1.9965714285714284,2.8559716885351447
2019,38,-2.7439999999999998,6.872224045629867
2019,39,0.18100000000000005,2.928615941589701
2019,40,0.4199999999999998,3.807693396270241
2019,41,-0.6155714285714285,2.246878416614397
2019,42,0.6835714285714287,5.442549306380325
2019,43,0.3447142857142857,2.329118553894421
2019,44,0.09757142857142855,1.6822328274392595
2019,45,-0.11328571428571428,1.9913034018188283
2019,46,-2.4492857142857143,3.808842593854714
2019,47,-0.02771428571428571,3.507461224033024
2019,48,-0.35300000000000004,1.0081170566953026
2019,49,-0.5664285714285714,1.5189894510433417
2019,50,-1.4152857142857145,5.473582273498947
2019,51,0.03871428571428578,2.0180954482123084
2019,52,0.38633333333333325,4.023880879615266
2020,00,1.0755000000000001,3.243106484016007
2020,01,0.8455714285714285,2.8660463393057025
2020,02,3.089857142857143,5.616101062379232
2020,03,-1.1685714285714286,2.1517375813624713
2020,04,1.9068571428571428,2.768959035965888
2020,05,2.8564285714285718,2.973493504120636
2020,06,2.6341428571428573,6.243548334843242
2020,07,-0.04542857142857141,4.405077708627581
2020,08,-2.4038571428571425,4.483018902055899
2020,09,1.1828571428571428,3.5113193355476056
